Strike,Date,District,Province,min_killed,max_killed ,min_civillians_killed,max_civillians_killed,min_children_killed,max_children_killed,min_injured,max_injured,Strike link,Timeline URL
AFG430,08/12/2017,Unknown,Helmand,0,0,0,0,0,0,0,0,,
AFG431,09/12/2017,Tarin Kot,Uruzgan,8,8,0,0,0,0,3,3,,
AFG432,28/12/2017,Unknown,Nangarhar,8,8,0,0,0,0,3,3,,
AFG433,30/12/2017,Deh Bala,Nangarhar,3,3,0,0,0,0,0,0,,
AFG434,11/01/2018,Achin,Nangarhar,8,13,0,0,0,0,0,0,,
AFG435,14/01/2018,Want Waigal,Nuristan,3,3,0,0,0,0,0,0,,
AFG436,20/01/2018,Barmal,Paktika,14,14,0,0,0,0,0,0,,
AFG437,20/01/2018,Nika,Paktika,50,50,0,0,0,0,0,0,,
AFG438,27/01/2018,Barmal,Paktika,1,1,0,0,0,0,0,0,,
AFG439,30/01/2018,Andar,Ghazni,26,26,0,0,0,0,20,22,,
AFG440,02/02/2018,Unknown,Helmand,0,0,0,0,0,0,0,0,,
AFG441,04/02/2018,Unknown,Badakhshan,0,0,0,0,0,0,0,0,,
AFG442,04/02/2018,Unknown,Badakhshan,0,0,0,0,0,0,0,0,,
