Date,country,Maximum total people killed,Maximum civilians reported killed
2018-09-01,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-02,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-03,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-04,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-05,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-06,Afghanistan,0,0
2018-09-07,Afghanistan,0,0
2018-09-07,Afghanistan,0,0
2018-09-07,Afghanistan,0,0
2018-09-07,Afghanistan,0,0
2018-09-07,Afghanistan,0,0
2018-09-08,Afghanistan,0,0
2018-09-08,Afghanistan,0,0
2018-09-08,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-09,Afghanistan,0,0
2018-09-10,Afghanistan,30,0
2018-09-10,Afghanistan,0,0
2018-09-10,Afghanistan,0,0
2018-09-10,Afghanistan,0,0
2018-09-10,Afghanistan,0,0
2018-09-10,Afghanistan,0,0
2018-09-10,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-11,Afghanistan,0,0
2018-09-12,Afghanistan,0,0
2018-09-12,Afghanistan,0,0
2018-09-12,Afghanistan,0,0
2018-09-12,Afghanistan,0,0
2018-09-12,Afghanistan,0,0
2018-09-12,Afghanistan,0,0
2018-09-13,Afghanistan,0,0
2018-09-13,Afghanistan,0,0
2018-09-14,Afghanistan,0,0
2018-09-14,Afghanistan,0,0
2018-09-14,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-15,Afghanistan,0,0
2018-09-16,Afghanistan,0,0
2018-09-16,Afghanistan,0,0
2018-09-16,Afghanistan,0,0
2018-09-16,Afghanistan,0,0
2018-09-16,Afghanistan,0,0
2018-09-16,Afghanistan,0,0
2018-09-17,Afghanistan,0,0
2018-09-17,Afghanistan,0,0
2018-09-17,Afghanistan,0,0
2018-09-17,Afghanistan,0,0
2018-09-18,Afghanistan,0,0
2018-09-18,Afghanistan,0,0
2018-09-18,Afghanistan,0,0
2018-09-18,Afghanistan,0,0
2018-09-18,Afghanistan,0,0
2018-09-19,Afghanistan,0,0
2018-09-19,Afghanistan,0,0
2018-09-19,Afghanistan,0,0
2018-09-19,Afghanistan,0,0
2018-09-19,Afghanistan,0,0
2018-09-19,Afghanistan,0,0
2018-09-20,Afghanistan,0,0
2018-09-20,Afghanistan,0,0
2018-09-20,Afghanistan,0,0
2018-09-20,Afghanistan,0,0
2018-09-21,Afghanistan,0,0
2018-09-21,Afghanistan,0,0
2018-09-21,Afghanistan,0,0
2018-09-21,Afghanistan,0,0
2018-09-21,Afghanistan,0,0
2018-09-21,Afghanistan,0,0
2018-09-22,Afghanistan,0,9
2018-09-22,Afghanistan,0,0
2018-09-22,Afghanistan,0,0
2018-09-22,Afghanistan,0,0
2018-09-22,Afghanistan,0,0
2018-09-23,Afghanistan,0,12
2018-09-23,Afghanistan,23,8
2018-09-23,Afghanistan,0,0
2018-09-23,Afghanistan,0,0
2018-09-23,Afghanistan,0,0
2018-09-23,Afghanistan,0,0
2018-09-23,Afghanistan,0,0
2018-09-23,Afghanistan,0,0
2018-09-24,Afghanistan,0,0
2018-09-24,Afghanistan,0,0
2018-09-24,Afghanistan,0,0
2018-09-25,Afghanistan,3,0
2018-09-25,Afghanistan,0,0
2018-09-25,Afghanistan,0,0
2018-09-25,Afghanistan,0,0
2018-09-26,Afghanistan,0,0
2018-09-26,Afghanistan,0,0
2018-09-26,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-27,Afghanistan,0,0
2018-09-28,Afghanistan,0,0
2018-09-28,Afghanistan,0,0
2018-09-28,Afghanistan,0,0
2018-09-28,Afghanistan,0,0
2018-09-28,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-29,Afghanistan,0,0
2018-09-30,Afghanistan,0,0
2018-09-30,Afghanistan,0,0
2018-09-30,Afghanistan,0,0
2018-09-30,Afghanistan,0,0
2018-10-01,Afghanistan,0,0
2018-10-01,Afghanistan,0,0
2018-10-01,Afghanistan,0,0
2018-10-01,Afghanistan,0,0
2018-10-01,Afghanistan,0,0
2018-10-02,Afghanistan,0,0
